feature,importance,category
XAsset_DXY_Change_5d,211,Cross-Asset
ADX,194,Existing
Stoch_K,157,Existing
Acceleration,152,Existing
RSI_Delta,152,Existing
Return_Momentum_Ratio,150,Existing
Plus_DI,142,Existing
OBV_x_Return_Lag1,142,Existing
RSI_Lag_5,141,Existing
Return_Skew_10,136,Existing
Gap_Pct,133,Existing
Return_Trend_Strength,127,Existing
Return_Acceleration,126,Existing
BB_Width_Change,120,Existing
Ret_Skew_20,117,Existing
XAsset_10Y_Change_5d,117,Cross-Asset
Vol_Ratio,116,Existing
Volume_per_ATR,113,Existing
TNX_Change_20,112,Existing
XAsset_Dollar_Momentum,112,Cross-Asset
ZMomentum,108,Existing
RSI_Lag_3,107,Existing
Ret_Kurt_20,107,Existing
Return_Kurt_10,104,Existing
RSI_Lag_1,102,Existing
Macro_Rate_Change_1y,102,Macro
Return_Lag3,102,Existing
ATR_14,101,Existing
BB_Width_Std_10,99,Existing
Dist_High20_ATR,99,Existing
Stoch_D,96,Existing
Return_Lag7,95,Existing
Macro_Rate_Change_6m,93,Macro
BB_Width_x_Vol_Ratio,93,Existing
XAsset_Credit_Change_lead5,92,Cross-Asset
Macro_Cycle_Position,91,Macro
XAsset_DXY,91,Cross-Asset
BB_PctB,89,Existing
Return_Lag1,89,Existing
Rolling_STD_5,88,Existing
RSI_Momentum_5,86,Existing
RSI_x_Vol_Ratio,84,Existing
BB_Width_x_Return_Lag1,84,Existing
Vol_Percentile_252,82,Existing
Return_Lag1_x_Return_Lag3,79,Existing
RSI_ROC_5,79,Existing
XAsset_10Y_Change_20d,79,Cross-Asset
KC_Width,79,Existing
XAsset_10Y_Yield,78,Cross-Asset
MA200_Distance_Vol,78,Existing
BB_Width_ZScore,76,Existing
Macro_Rate_Change_3m,76,Macro
Minus_DI,75,Existing
OBV_Trend,73,Existing
RSI_Lag10,71,Existing
XAsset_Credit_Change_lead10,70,Cross-Asset
OBV_Change_5,69,Existing
Volume_Momentum_5,68,Existing
MA_200,67,Existing
Return_1d_vs_10d,65,Existing
Macro_Growth_Momentum_3m,63,Macro
DXY_Change_20,63,Existing
BB_Width_x_RSI,63,Existing
OBV,62,Existing
Macro_Growth_Momentum_1y,62,Macro
XAsset_Credit_Change_20d,59,Cross-Asset
XAsset_Credit_Change_5d,57,Cross-Asset
XAsset_Downside_Vol,56,Cross-Asset
Vol_Percentile,56,Existing
MACD_Histogram,54,Existing
Credit_Spread_20,54,Existing
XAsset_Credit_Volatility,53,Cross-Asset
MACD_x_RSI,51,Existing
MACD,50,Existing
BB_Width_Lag1,49,Existing
Return_3d_vs_10d,48,Existing
Macro_Rate_Volatility,47,Macro
XAsset_Realized_Vol_60,47,Cross-Asset
MA200_Slope,43,Existing
Price_Momentum_10,42,Existing
XAsset_DXY_Change_20d,41,Cross-Asset
Return_Lag15,41,Existing
MACD_Signal,40,Existing
Price_vs_MA200,40,Existing
XAsset_Credit_Ratio,39,Cross-Asset
Return_Lag1_MA5,37,Existing
RSI_Lag7,37,Existing
Return_Lag5,35,Existing
BB_Width_Mean_10,35,Existing
Macro_Growth_Momentum_6m,35,Macro
Return_Lag1_MA10,35,Existing
MA_20,32,Existing
EMA_12,32,Existing
Volatility,30,Existing
BB_Width,26,Existing
RSI,26,Existing
Near_52w_High,23,Existing
Volatility_Acceleration,23,Existing
VWAP_Dev,22,Existing
Daily_Return,21,Existing
BB_Width_Lag3,19,Existing
Macro_Inflation_Acceleration,18,Macro
Days_Above_MA20,17,Existing
EMA_26,17,Existing
Return_Lag10,14,Existing
Macro_10Y_Yield,13,Macro
Regime_Score,12,Existing
Macro_Financial_Conditions_Loose,10,Macro
Macro_Financial_Conditions_Tight,9,Macro
Return_Volatility_20,9,Existing
XAsset_Yield_Rising,9,Cross-Asset
Trend_Consistency,6,Existing
XAsset_Vol_Spike_lead5,5,Cross-Asset
Macro_Inflation_Uncertainty,5,Macro
Macro_Trough,5,Macro
XAsset_Strong_Dollar_lead5,4,Cross-Asset
XAsset_Credit_Stress,4,Cross-Asset
High_Volatility,4,Existing
XAsset_Credit_Stress_lead10,4,Cross-Asset
Macro_Inflation_Proxy,4,Macro
RSI_Neutral,3,Existing
XAsset_Realized_Vol_20,3,Cross-Asset
Macro_Recovery_Signal,2,Macro
Macro_Target_Inflation,2,Macro
Bull_Market,2,Existing
XAsset_Strong_Dollar,1,Cross-Asset
Macro_Market_Trend_Strength,1,Macro
XAsset_Vol_Spike,1,Cross-Asset
Positive_Return_Streak,1,Existing
Vol_Expanding,1,Existing
Strong_Trend,1,Existing
Near_52w_Low,1,Existing
RSI_x_RedditZ,0,Existing
RSI_x_NewsZ,0,Existing
Sent_x_Vol,0,Existing
MA_20_50_Cross,0,Existing
RSI_Overbought,0,Existing
RSI_Oversold,0,Existing
Return_Reversal,0,Existing
Pct_Above_MA20,0,Existing
Sector_MedianRet_20,0,Existing
Sector_Dispersion_20,0,Existing
XAsset_High_Vol_Regime,0,Cross-Asset
XAsset_High_Vol_lead5,0,Cross-Asset
News_Sent_Z20,0,Existing
Reddit_Sent_Z20,0,Existing
XAsset_Credit_Stress_lead5,0,Cross-Asset
XAsset_High_Yield_Regime,0,Cross-Asset
Macro_Low_Rate_Regime,0,Macro
Macro_Recession_Signal,0,Macro
Macro_Above_MA50,0,Macro
Macro_Above_MA200,0,Macro
Macro_High_Rate_Regime,0,Macro
Macro_Normal_Rate_Regime,0,Macro
Macro_Tightening_Cycle,0,Macro
Macro_Easing_Cycle,0,Macro
Macro_Peak,0,Macro
Macro_Expansion,0,Macro
Macro_Low_Inflation,0,Macro
Macro_High_Inflation,0,Macro
Macro_Contraction,0,Macro
Macro_Financial_Stress,0,Macro
Macro_Policy_Error_Risk,0,Macro
Macro_Complacency,0,Macro
