feature,importance
ADX,220
XAsset_DXY_Change_5d,205
Stoch_K,175
Acceleration,156
OBV_x_Return_Lag1,156
Return_Trend_Strength,149
Return_Momentum_Ratio,147
RSI_Delta,144
Return_Acceleration,133
Gap_Pct,133
Ret_Skew_20,133
Plus_DI,132
BB_Width_Change,128
Vol_Percentile_252,127
TNX_Change_20,126
Ret_Kurt_20,126
Return_Kurt_10,126
RSI_Lag_5,123
Volume_per_ATR,123
XAsset_10Y_Change_5d,120
XAsset_Dollar_Momentum,118
Return_Skew_10,117
XAsset_10Y_Yield,111
ATR_14,110
Vol_Ratio,110
ZMomentum,108
RSI_Lag_3,103
XAsset_DXY,102
OBV_Change_5,102
BB_PctB,101
Return_Lag3,100
Rolling_STD_5,99
Stoch_D,98
KC_Width,98
BB_Width_x_Vol_Ratio,96
Return_Lag1_x_Return_Lag3,96
Return_Lag1,95
RSI_x_Vol_Ratio,94
XAsset_Credit_Change_lead10,92
XAsset_Credit_Change_lead5,90
RSI_Lag_1,90
Dist_High20_ATR,87
Minus_DI,87
XAsset_10Y_Change_20d,86
Return_Lag7,83
BB_Width_Std_10,82
OBV,80
Volume_Momentum_5,79
MA200_Distance_Vol,76
Vol_Percentile,76
RSI_Momentum_5,72
XAsset_Credit_Change_20d,72
MA_200,69
RSI_ROC_5,68
XAsset_Credit_Change_5d,68
Return_3d_vs_10d,68
BB_Width_x_Return_Lag1,67
MA200_Slope,67
DXY_Change_20,66
OBV_Trend,66
Price_Momentum_10,66
MACD_Histogram,66
BB_Width_ZScore,66
XAsset_Credit_Ratio,64
MACD,63
Credit_Spread_20,60
XAsset_Downside_Vol,60
RSI_Lag10,58
Return_1d_vs_10d,58
XAsset_Realized_Vol_60,57
BB_Width_x_RSI,56
Price_vs_MA200,54
MACD_x_RSI,53
BB_Width_Lag1,51
Return_Lag5,51
MACD_Signal,47
XAsset_DXY_Change_20d,44
MA_20,43
RSI,43
Return_Lag1_MA10,43
XAsset_Credit_Volatility,43
Volatility,43
EMA_12,42
BB_Width_Mean_10,41
RSI_Lag7,40
Return_Lag1_MA5,38
Return_Lag15,37
EMA_26,34
BB_Width,29
Daily_Return,27
Volatility_Acceleration,26
VWAP_Dev,26
Near_52w_High,24
Days_Above_MA20,23
BB_Width_Lag3,18
XAsset_Yield_Rising,16
Return_Lag10,16
XAsset_Vol_Spike_lead5,15
Return_Volatility_20,10
XAsset_Credit_Stress,9
High_Volatility,8
Regime_Score,6
Trend_Consistency,6
XAsset_Strong_Dollar_lead5,3
XAsset_Realized_Vol_20,2
Return_Reversal,2
XAsset_Credit_Stress_lead10,2
RSI_Neutral,2
XAsset_Credit_Stress_lead5,1
Near_52w_Low,1
Positive_Return_Streak,1
XAsset_High_Vol_lead5,1
Sent_x_Vol,0
RSI_x_NewsZ,0
Vol_Expanding,0
RSI_x_RedditZ,0
MA_20_50_Cross,0
Strong_Trend,0
Pct_Above_MA20,0
RSI_Oversold,0
RSI_Overbought,0
Bull_Market,0
Sector_Dispersion_20,0
Sector_MedianRet_20,0
News_Sent_Z20,0
Reddit_Sent_Z20,0
XAsset_Strong_Dollar,0
XAsset_High_Yield_Regime,0
XAsset_High_Vol_Regime,0
XAsset_Vol_Spike,0
