Date,Macro_10Y_Yield,Macro_Low_Rate_Regime,Macro_High_Rate_Regime,Macro_Normal_Rate_Regime,Macro_Rate_Change_3m,Macro_Rate_Change_6m,Macro_Rate_Change_1y,Macro_Tightening_Cycle,Macro_Easing_Cycle,Macro_Rate_Volatility,Macro_Market_Trend_Strength,Macro_Above_MA50,Macro_Above_MA200,Macro_Growth_Momentum_3m,Macro_Growth_Momentum_6m,Macro_Growth_Momentum_1y,Macro_Recession_Signal,Macro_Recovery_Signal,Macro_Inflation_Proxy,Macro_Low_Inflation,Macro_Target_Inflation,Macro_High_Inflation,Macro_Inflation_Acceleration,Macro_Inflation_Uncertainty,Macro_Expansion,Macro_Peak,Macro_Contraction,Macro_Trough,Macro_Cycle_Position,Macro_Financial_Conditions_Tight,Macro_Financial_Conditions_Loose,Macro_Financial_Stress,Macro_Policy_Error_Risk,Macro_Complacency
2000-01-03,6.547999858856201,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.547999858856201,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-04,6.485000133514404,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.485000133514404,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-05,6.598999977111816,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.598999977111816,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-06,6.548999786376953,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.548999786376953,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-07,6.504000186920166,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.504000186920166,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-10,6.558000087738037,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.558000087738037,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-11,6.664000034332275,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.664000034332275,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-12,6.696000099182129,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.696000099182129,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-13,6.618000030517578,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.618000030517578,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-14,6.673999786376953,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.673999786376953,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-18,6.748000144958496,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.748000144958496,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-19,6.724999904632568,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.724999904632568,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-20,6.748000144958496,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.748000144958496,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-21,6.781000137329102,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.781000137329102,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-24,6.684000015258789,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.684000015258789,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-25,6.684000015258789,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.684000015258789,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-26,6.679999828338623,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.679999828338623,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-27,6.684999942779541,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.684999942779541,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-28,6.6479997634887695,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.6479997634887695,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-01-31,6.666999816894531,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.666999816894531,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-01,6.617000102996826,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.617000102996826,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-02,6.5980000495910645,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.5980000495910645,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-03,6.474999904632568,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.474999904632568,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-04,6.517000198364258,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.517000198364258,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-07,6.63100004196167,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.63100004196167,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-08,6.598999977111816,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.598999977111816,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-09,6.669000148773193,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.669000148773193,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-10,6.656000137329102,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.656000137329102,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-11,6.620999813079834,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.620999813079834,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-14,6.539000034332275,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.539000034332275,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-15,6.552000045776367,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.552000045776367,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-16,6.546999931335449,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.546999931335449,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-17,6.568999767303467,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.568999767303467,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-18,6.482999801635742,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.482999801635742,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-22,6.3420000076293945,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.3420000076293945,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-23,6.427000045776367,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.427000045776367,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-24,6.3460001945495605,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.3460001945495605,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-25,6.341000080108643,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.341000080108643,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-28,6.414000034332275,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.414000034332275,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-02-29,6.408999919891357,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.408999919891357,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-01,6.379000186920166,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.379000186920166,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-02,6.395999908447266,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.395999908447266,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-03,6.370999813079834,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.370999813079834,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-06,6.408999919891357,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.408999919891357,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-07,6.382999897003174,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.382999897003174,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-08,6.375,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.375,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-09,6.341000080108643,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.341000080108643,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-10,6.38700008392334,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.38700008392334,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-13,6.361999988555908,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.361999988555908,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-14,6.297999858856201,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.297999858856201,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-15,6.276000022888184,0,1,0,,,,0,0,,0,0,0,,,,0,0,6.276000022888184,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-16,6.23799991607666,0,1,0,,,,0,0,,0,1,0,,,,0,0,6.23799991607666,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-17,6.188000202178955,0,1,0,,,,0,0,,0,1,0,,,,0,0,6.188000202178955,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-20,6.171000003814697,0,1,0,,,,0,0,,0,1,0,,,,0,0,6.171000003814697,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-21,6.13700008392334,0,1,0,,,,0,0,,0,1,0,,,,0,0,6.13700008392334,0,0,1,,,0,0,0,0,,0,0,0,0,0
2000-03-22,6.119999885559082,0,1,0,,,,0,0,,0,1,0,,,,0,0,6.119999885559082,0,0,1,,,0,0,0,0,,0,0,0,0,0
