feature,importance,rf_importance,lgb_norm,rf_norm,avg_importance
Stoch_K,67,0.018992880182807186,0.9305555555555556,0.972933581204394,0.9517445683799748
BB_PctB,42,0.019521250524928854,0.5833333333333334,1.0,0.7916666666666667
XAsset_DXY_Change_5d,72,0.009286944676069157,1.0,0.47573513101579357,0.7378675655078968
Dist_High20_ATR,48,0.014650668146978749,0.6666666666666666,0.7504984441580566,0.7085825554123616
ADX,66,0.009566818608118498,0.9166666666666666,0.49007201643673204,0.7033693415516993
Return_Trend_Strength,56,0.009815228937273412,0.7777777777777778,0.502797140210831,0.6402874589943044
RSI_Delta,57,0.009230308285709506,0.7916666666666666,0.4728338624578533,0.63225026456226
Acceleration,53,0.00886558452864316,0.7361111111111112,0.4541504406862516,0.5951307758986814
Plus_DI,50,0.00962704342786395,0.6944444444444444,0.4931571066909934,0.5938007755677189
Return_Momentum_Ratio,52,0.008608060125532889,0.7222222222222222,0.44095843729582285,0.5815903297590226
Ret_Skew_20,48,0.008828387712317792,0.6666666666666666,0.45224498814990577,0.5594558274082861
Return_Lag7,29,0.013859517222197935,0.4027777777777778,0.709970767728183,0.5563742727529803
Return_Acceleration,49,0.008403678731596592,0.6805555555555556,0.43048874972763657,0.5555221526415961
TNX_Change_20,42,0.01021223757867084,0.5833333333333334,0.5231343947781264,0.5532338640557299
Macro_Cycle_Position,35,0.012090472748791527,0.4861111111111111,0.619349294931278,0.5527302030211946
XAsset_10Y_Change_5d,46,0.008753005105473138,0.6388888888888888,0.44838342166120215,0.5436361552750455
Vol_Ratio,46,0.008630014277941977,0.6388888888888888,0.4420830656786742,0.5404859772837816
Gap_Pct,46,0.00808575483993249,0.6388888888888888,0.4142027084590145,0.5265457986739517
MA200_Distance_Vol,32,0.011834729395291867,0.4444444444444444,0.6062485279915232,0.5253464862179837
XAsset_10Y_Yield,40,0.009496292156895072,0.5555555555555556,0.4864592124755635,0.5210073840155596
Return_Kurt_10,43,0.00867303252013402,0.5972222222222222,0.44428672789473506,0.5207544750584786
ZMomentum,39,0.009753433355634299,0.5416666666666666,0.49963158575210415,0.5206491262093854
Volume_per_ATR,41,0.009025231367770007,0.5694444444444444,0.4623285458195768,0.5158864951320106
RSI_Lag_3,45,0.007834088278667654,0.625,0.40131078020147515,0.5131553901007375
Ret_Kurt_20,42,0.008619016640309934,0.5833333333333334,0.4415196982029073,0.5124265157681204
BB_Width_Change,39,0.009296552998749076,0.5416666666666666,0.47622732912921095,0.5089469978979388
Volatility,21,0.013742753493121627,0.2916666666666667,0.7039894025012372,0.497828034583952
RSI_Lag_5,45,0.007134780577646867,0.625,0.36548788554993816,0.4952439427749691
OBV_x_Return_Lag1,39,0.008473762404740452,0.5416666666666666,0.43407887183863364,0.4878727692526501
Return_Skew_10,37,0.008526726633716146,0.5138888888888888,0.4367920294259541,0.47534045915742146
MA_200,37,0.008429272531503258,0.5138888888888888,0.43179982351740137,0.47284435620314513
Return_Lag1,34,0.008945572746150147,0.4722222222222222,0.4582479352296899,0.46523507872595604
Return_Lag5,21,0.012406528228802,0.2916666666666667,0.6355396245214273,0.46360314559404703
Stoch_D,32,0.00940772760167627,0.4444444444444444,0.4819223845143782,0.4631834144794113
Macro_Rate_Change_6m,32,0.009353936097442388,0.4444444444444444,0.47916684873734433,0.4618056465908944
Macro_Rate_Change_1y,33,0.008923109105179248,0.4583333333333333,0.4570972076703968,0.45771527050186506
OBV_Change_5,32,0.009181147609434169,0.4444444444444444,0.47031554652248025,0.4573799954834623
BB_Width_Std_10,34,0.008544620297762337,0.4722222222222222,0.4377086543124254,0.45496543826732383
KC_Width,27,0.010394976485210074,0.375,0.5324954193859442,0.4537477096929721
XAsset_10Y_Change_20d,35,0.008195012954572995,0.4861111111111111,0.41979958938121675,0.45295535024616396
XAsset_Downside_Vol,25,0.01087317630992066,0.3472222222222222,0.5569917918954779,0.45210700705885004
BB_Width_ZScore,31,0.00920436347791874,0.4305555555555556,0.47150480785873145,0.4510301817071435
MACD_Histogram,28,0.010010958421336702,0.3888888888888889,0.5128236230846275,0.45085625598675816
XAsset_Dollar_Momentum,38,0.006675965096071465,0.5277777777777778,0.3419844997914546,0.4348811387846162
RSI_Lag_1,32,0.008290275260331572,0.4444444444444444,0.4246795178282661,0.43456198113635525
Volume_Momentum_5,35,0.007452049909679008,0.4861111111111111,0.3817403961986276,0.43392575365486935
BB_Width_x_Vol_Ratio,31,0.008236982190518936,0.4305555555555556,0.42194951496576605,0.4262525352606608
Macro_Growth_Momentum_3m,23,0.010404763590149746,0.3194444444444444,0.5329967758398853,0.42622061014216484
XAsset_Credit_Change_lead5,31,0.008000227532412328,0.4305555555555556,0.409821467236228,0.42018851139589175
Macro_Rate_Change_3m,22,0.010042976868633029,0.3055555555555556,0.5144638073164439,0.41000968143599975
Rolling_STD_5,27,0.008601113154848912,0.375,0.44060257020241583,0.40780128510120794
DXY_Change_20,29,0.00785092511088641,0.4027777777777778,0.4021732675814334,0.4024755226796056
ATR_14,27,0.008363905052119982,0.375,0.42845129421597156,0.40172564710798575
RSI_ROC_5,25,0.008874245787780472,0.3472222222222222,0.4545941243081718,0.400908173265197
RSI_Lag7,30,0.007271616729895929,0.4166666666666667,0.3724974852717552,0.3945820759692109
RSI,20,0.009870123453993126,0.2777777777777778,0.5056091791552425,0.39169347846651015
Vol_Percentile_252,34,0.005903246743480025,0.4722222222222222,0.3024010544786315,0.38731163835042687
RSI_x_Vol_Ratio,24,0.008432844413250068,0.3333333333333333,0.43198279754062024,0.3826580654369768
Return_Lag3,22,0.008908588534591685,0.3055555555555556,0.4563533736332782,0.3809544645944169
Return_Lag1_x_Return_Lag3,24,0.008344013671778179,0.3333333333333333,0.42743233386215607,0.3803828335977447
BB_Width_x_Return_Lag1,17,0.010168604393444884,0.2361111111111111,0.5208992313509558,0.37850517123103344
Macro_Rate_Volatility,29,0.006708926697310387,0.4027777777777778,0.34367299824071273,0.37322538800924526
RSI_Momentum_5,21,0.008790278144185813,0.2916666666666667,0.4502927787828208,0.3709797227247438
Credit_Spread_20,24,0.007973767132283646,0.3333333333333333,0.40846600078724754,0.37089966706029043
Return_Lag15,15,0.010374833314268134,0.20833333333333334,0.5314635607498278,0.3698984470415806
XAsset_Realized_Vol_20,3,0.013569378236686927,0.041666666666666664,0.6951080423540839,0.36838735451037524
Return_Volatility_20,2,0.013691026795733818,0.027777777777777776,0.7013396389872782,0.364558708382528
Return_Lag1_MA5,14,0.01022224131001838,0.19444444444444445,0.5236468481854922,0.3590456463149683
XAsset_DXY_Change_20d,27,0.0066112097785160275,0.375,0.33866732923044246,0.35683366461522126
Price_vs_MA200,17,0.009313031370662401,0.2361111111111111,0.4770714539403895,0.35659128252575034
Return_3d_vs_10d,20,0.008219785924763285,0.2777777777777778,0.42106861516205263,0.3494231964699152
OBV_Trend,20,0.00817967824998276,0.2777777777777778,0.41901405033131556,0.3483959140545467
Price_Momentum_10,16,0.009139843432153079,0.2222222222222222,0.46819968938369994,0.3452109558029611
Minus_DI,19,0.00832323713553152,0.2638888888888889,0.4263680303115138,0.34512845960020133
BB_Width_Lag1,20,0.007947219022275128,0.2777777777777778,0.40710604129210065,0.34244190953493925
XAsset_Credit_Change_lead10,24,0.0067245701140357704,0.3333333333333333,0.34447435144835725,0.33890384239084526
MACD,19,0.007956379634125465,0.2638888888888889,0.4075753048691773,0.3357320968790331
XAsset_Credit_Change_20d,23,0.006709458794362868,0.3194444444444444,0.34370025556481715,0.3315723500046308
BB_Width_x_RSI,21,0.007217269258112991,0.2916666666666667,0.3697134693751539,0.3306900680209103
MACD_x_RSI,10,0.009966122134719663,0.1388888888888889,0.5105268293131536,0.3247078591010213
Vol_Percentile,26,0.005496666078727282,0.3611111111111111,0.2815734612753409,0.321342286193226
XAsset_Realized_Vol_60,15,0.008458629837408521,0.20833333333333334,0.4333036875177006,0.32081851042551696
Return_1d_vs_10d,20,0.006952905628362943,0.2777777777777778,0.35617111821212505,0.31697444799495145
MA200_Slope,17,0.007649609760256969,0.2361111111111111,0.3918606418419933,0.3139858764765522
