feature,importance
Return_Lag1,0.07660687
Return_Trend_Strength,0.051764056
Return_Lag3,0.04368225
RSI_Delta,0.039689824
MACD_Signal,0.033099815
VWAP_Dev,0.03040474
BB_Width,0.028886849
BB_Width_x_Vol_Ratio,0.027469454
Stoch_D,0.025227891
RSI_Lag_1,0.02502951
Return_Lag5,0.024912685
Ret_Kurt_20,0.024781741
Rolling_STD_5,0.024650022
Acceleration,0.023969019
EMA_26,0.023865506
OBV_x_Return_Lag1,0.023718981
MACD,0.023702746
BB_Width_x_Return_Lag1,0.023611581
RSI_x_Vol_Ratio,0.023245448
Stoch_K,0.02294054
EMA_12,0.022736553
BB_Width_x_RSI,0.022620266
OBV,0.022405883
RSI_Lag_5,0.022279276
Volatility,0.022165839
Vol_Ratio,0.021971319
Ret_Skew_20,0.021782426
RSI,0.021481369
MA_20,0.021353737
BB_PctB,0.02131192
Price_Momentum_10,0.021107918
RSI_Lag_3,0.020908736
Return_Lag1_x_Return_Lag3,0.02055761
MACD_x_RSI,0.01979985
ZMomentum,0.01968805
MACD_Histogram,0.019098295
KC_Width,0.018758891
Daily_Return,0.018712575
Volume_per_ATR,0.0
