feature,importance
XAsset_DXY_Change_5d,117
price_to_max_pain,92
XAsset_10Y_Change_5d,89
Gap_Pct,85
ADX,85
Return_Acceleration,83
Ret_Kurt_20,83
oi_change_5d,83
put_call_ratio,81
Plus_DI,81
Return_Momentum_Ratio,80
RSI_Delta,78
call_volume,77
Ret_Skew_20,75
Return_Lag3,75
vix_front_month,75
Rolling_STD_5,73
Return_Lag7,73
TNX_Change_20,73
Volume_per_ATR,73
Vol_Ratio,72
Return_Trend_Strength,71
Return_Skew_10,71
XAsset_DXY_Change_20d,71
Dist_High20_ATR,70
vix_term_slope,70
put_call_ratio_ma20,70
gamma_exposure_pct,70
BB_Width_Std_10,70
Return_Kurt_10,70
Volume_Momentum_5,69
RSI_Lag_5,69
Acceleration,69
RSI_x_Vol_Ratio,67
gamma_exposure,67
XAsset_10Y_Yield,66
Stoch_D,66
RSI_ROC_5,62
Stoch_K,61
XAsset_10Y_Change_20d,59
put_call_ratio_ma5,59
ZMomentum,59
Return_1d_vs_10d,58
BB_Width_ZScore,57
MA200_Distance_Vol,57
XAsset_Dollar_Momentum,57
KC_Width,57
RSI_Lag10,55
OBV_Change_5,55
BB_Width_Change,55
Return_Lag1_x_Return_Lag3,55
RSI_Momentum_5,55
XAsset_DXY,54
Vol_Percentile,53
Macro_Rate_Volatility,53
BB_Width_x_Vol_Ratio,53
MACD_Histogram,52
RSI_Lag_1,51
Minus_DI,50
BB_PctB,49
OBV_Trend,48
Macro_Growth_Momentum_3m,48
RSI_Lag_3,48
RSI_Lag7,48
ATR_14,47
Macro_Rate_Change_3m,46
BB_Width_x_Return_Lag1,46
OBV_x_Return_Lag1,46
implied_vol_rank,45
Macro_Rate_Change_6m,45
Macro_Rate_Change_1y,44
XAsset_Credit_Change_20d,44
XAsset_Credit_Change_lead10,43
XAsset_Credit_Change_lead5,43
DXY_Change_20,43
XAsset_Realized_Vol_60,42
Return_Lag15,42
Macro_Cycle_Position,41
call_oi,41
OBV,40
Price_vs_MA200,39
Credit_Spread_20,39
Macro_Growth_Momentum_1y,37
BB_Width_x_RSI,37
Volatility,36
XAsset_Downside_Vol,36
Return_3d_vs_10d,36
XAsset_Credit_Change_5d,35
Vol_Percentile_252,35
MACD,35
Return_Lag1,34
Return_Lag5,33
BB_Width,32
MA_200,32
RSI,32
MACD_Signal,30
Macro_Growth_Momentum_6m,29
BB_Width_Mean_10,28
XAsset_Credit_Ratio,27
BB_Width_Lag3,27
MA200_Slope,26
Price_Momentum_10,25
Days_Above_MA20,24
max_pain,23
BB_Width_Lag1,22
MACD_x_RSI,22
Return_Lag1_MA5,20
XAsset_Credit_Volatility,20
EMA_26,14
VWAP_Dev,14
Return_Lag1_MA10,13
put_volume,12
Positive_Return_Streak,10
iv_percentile,10
Macro_Inflation_Uncertainty,9
MA_20,9
XAsset_Realized_Vol_20,8
Macro_10Y_Yield,7
Daily_Return,6
Regime_Score,6
Volatility_Acceleration,5
Macro_Inflation_Acceleration,4
High_Volatility,4
put_oi,4
EMA_12,4
Near_52w_High,4
XAsset_Strong_Dollar_lead5,4
Macro_Financial_Conditions_Loose,4
Macro_Target_Inflation,3
Return_Reversal,2
XAsset_Credit_Stress_lead10,2
Macro_Recovery_Signal,2
XAsset_Yield_Rising,2
Macro_Trough,2
total_options_volume,1
Vol_Expanding,1
Macro_Normal_Rate_Regime,1
Strong_Trend,1
Trend_Consistency,1
Return_Lag10,1
Macro_Above_MA50,1
XAsset_Strong_Dollar,1
XAsset_Credit_Stress,1
Macro_Expansion,1
Return_Volatility_20,0
Macro_Inflation_Proxy,0
Pct_Above_MA20,0
Macro_Financial_Conditions_Tight,0
XAsset_Vol_Spike_lead5,0
vix_contango,0
