threshold,accuracy,precision,recall,f1,tp,fp,tn,fn,n_predictions
0.3,0.29846153846153844,0.29846153846153844,1.0,0.4597156398104265,388,912,0,0,1300
0.35,0.3038461538461538,0.300077339520495,1.0,0.46162998215348006,388,905,7,0,1293
0.39999999999999997,0.3038461538461538,0.300077339520495,1.0,0.46162998215348006,388,905,7,0,1293
0.44999999999999996,0.3038461538461538,0.300077339520495,1.0,0.46162998215348006,388,905,7,0,1293
0.49999999999999994,0.3038461538461538,0.300077339520495,1.0,0.46162998215348006,388,905,7,0,1293
0.5499999999999999,0.7192307692307692,0.9259259259259259,0.06443298969072164,0.12048192771084337,25,2,910,363,27
0.5999999999999999,0.7138461538461538,0.9444444444444444,0.04381443298969072,0.08374384236453201,17,1,911,371,18
0.6499999999999999,0.7046153846153846,1.0,0.010309278350515464,0.02040816326530612,4,0,912,384,4
0.7,0.7015384615384616,0.0,0.0,0.0,0,0,912,388,0
0.7499999999999999,0.7015384615384616,0.0,0.0,0.0,0,0,912,388,0
0.7999999999999998,0.7015384615384616,0.0,0.0,0.0,0,0,912,388,0
0.8499999999999999,0.7015384615384616,0.0,0.0,0.0,0,0,912,388,0
0.8999999999999999,0.7015384615384616,0.0,0.0,0.0,0,0,912,388,0
0.95,0.7015384615384616,0.0,0.0,0.0,0,0,912,388,0
