fold,train_start,train_end,test_start,test_end,train_size,test_size,lgb_accuracy,xgb_accuracy,ensemble_accuracy,lgb_f1,xgb_f1,ensemble_f1
1,2000-01-03,2025-01-03,2025-01-06,2025-02-05,6291,21,0.5714285714285714,0.6190476190476191,0.6190476190476191,0.0,0.0,0.0
2,2000-01-03,2025-02-05,2025-02-06,2025-03-07,6312,21,0.8095238095238095,0.7142857142857143,0.7619047619047619,0.5,0.0,0.2857142857142857
3,2000-01-03,2025-03-07,2025-03-10,2025-04-07,6333,21,0.47619047619047616,0.47619047619047616,0.5714285714285714,0.35294117647058826,0.26666666666666666,0.47058823529411764
4,2000-01-03,2025-04-07,2025-04-08,2025-05-07,6354,21,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.0,0.0,0.0
5,2000-01-03,2025-05-07,2025-05-08,2025-06-06,6375,21,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
6,2000-01-03,2025-06-06,2025-06-09,2025-07-09,6396,21,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
7,2000-01-03,2025-07-09,2025-07-10,2025-08-07,6417,21,0.8095238095238095,0.8571428571428571,0.8095238095238095,0.3333333333333333,0.5714285714285714,0.3333333333333333
8,2000-01-03,2025-08-07,2025-08-08,2025-09-08,6438,21,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0
9,2000-01-03,2025-09-08,2025-09-09,2025-10-07,6459,21,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
10,2000-01-03,2025-10-07,2025-10-08,2025-11-05,6480,21,0.7619047619047619,0.7142857142857143,0.8095238095238095,0.2857142857142857,0.4,0.5
